LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=1319776&DL=4405\,VOLKSWAGEN PASSAT B8 1.8 TFSI AT SR NAV 17W 3G24JZ,41800,11930,30-Nov-2016,113000,2016,976,Auto,31021,15/09/2024,31404,30966,56410,792,1798,1480,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314838&DL=3597\,VOLKSWAGEN PASSAT B8 1.8 TFSI AT 3G24JZ,40000,15180,25-May-2016,113333,2015,976,Auto,24123,15/09/2024,29840,28776,49156,396,1798,1480,1,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1321821&DL=1281\,HONDA FIT 1.3GF CVT,83000,12790,15-Dec-2020,47000,2019,578,Auto,30022,15/09/2024,16105,6105,40714,2376,1317,1030,1,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1322484&DL=2303\,MINI ONE 5DR HB (LCI),104800,16110,14-Aug-2020,65000,2020,684,Auto,33675,15/09/2024,26516,19123,32699,1980,1499,1225,2,Hatchback,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1336004&DL=1067\,BENTLEY CONTINENTAL GT V8,318888,31870,28-Nov-2014,60988,2014,3940,Auto,,15/09/2024,185969,306745,,365,3993,2295,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1311169&DL=1277\,MITSUBISHI OUTLANDER 2.4 CVT 4WD,49888,13380,31-Aug-2017,73200,2017,1636,Auto,27138,15/09/2024,20495,20693,49802,792,2360,1535,3,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1291151&DL=1068\,TOYOTA ALLION 1.5 A,50800,10790,15-Jun-2009,,2008,1023,Auto,13133,15/09/2024,18284,18284,27886,1584,1496,1200,3,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1335225&DL=1198\,NISSAN QASHQAI 1.2 DIG-T CVT ABS 2WD 5DR,22500,12490,21-Dec-2015,139303,2015,508,Auto,14473,15/09/2024,18454,13454,56001,396,1197,1285,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1300896&DL=1266\,TOYOTA SIENTA HYBRID 1.5X CVT,159800,15770,21-May-2024,88,MPV,680,2024,62654,15/09/2024,,,65010,3564,1490,1350,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1334570&DL=3570\,MERCEDES BENZ CLA180 COUPE PROGRESSIVE,164388,19230,24-Mar-2022,33588,2022,586,Auto,73097,15/09/2024,33846,39385,57898,2772,1332,1410,2,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1314882&DL=3989\,NISSAN QASHQAI 1.2 DIG-T CVT ABS 2WD 5DR,28800,13050,19-May-2016,120000,2016,508,Auto,15689,15/09/2024,18974,13974,47889,396,1197,1285,3,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1332873&DL=4140\,HONDA FREED 1.5G A,50800,12760,08-Sep-2008,142000,2008,1023,Auto,12874,15/09/2024,15850,12139,32339,1188,1496,1280,3,MPV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1320722&DL=2725\,MERCEDES BENZ C180 AVANTGARDE (R17 LED),128800,12870,16-Dec-2014,139000,2014,740,Auto,,15/09/2024,32861,28006,,365,1595,1425,3,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1327716&DL=1269\,B.M.W. 216D ACTIVE TOURER D/AB LED,30800,15420,11-Jan-2016,96000,Hatchback,1082,2015,18758,15/09/2024,,,55089,396,1496,1395,3,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=1318441&DL=2239\,TOYOTA C-HR 1.2 TURBO ACTIVE (AUTO),91800,14610,13-Jan-2020,99000,2019,508,Auto,39750,15/09/2024,25646,27905,35320,1980,1197,1385,2,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333028&DL=1000\,,2280000,228530,19-Jul-2021,17000,2021,8250,Auto,1114358,15/09/2024,811764,1433180,57700,2376,6749,2720,2,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=1273271&DL=2448\,HONDA FIT HYBRID 1.5 AUTO,72800,14340,11-Jul-2019,62000,Hatchback,682,2018,21583,15/09/2024,,,34000,1584,1496,1080,2,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1233525&DL=1269\,PORSCHE 718 CAYMAN (982),310800,39350,14-May-2021,72500,2021,1200,Auto,113069,15/09/2024,69708,97475,60001,2376,1988,1365,1,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1325114&DL=3382\,RENAULT GRAND SCENIC IV 1.5 DCI AT EU6,51998,11500,18-Jun-2018,144000,MPV,1048,2018,25133,15/09/2024,,,36426,1188,1461,1540,3,,Diesel
https://www.sgcarmart.com/used_cars/info.php?ID=926158&DL=2300\,Mercedes-Benz C-Class C200 AMG Line Premium,268888,,N.A.,30,Auto,1202,"$48,997",,15/09/2024,,,,,1991,,,Luxury Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1308759&DL=1000\,,115000,13310,05-May-2023,88000,1959,280,Auto,,15/09/2024,14491,14491,11527,3168,4636,1595,1,Others,
https://www.sgcarmart.com/used_cars/info.php?ID=1332353&DL=2659\,NISSAN SYLPHY 1.6 CVT,65800,12200,31-May-2019,97000,2019,742,Auto,24408,15/09/2024,16713,16713,27000,1584,1598,1205,1,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1333738&DL=3791\,TOYOTA LEXUS ES300H 4DR SEDAN (AUTO) LUXURY,163800,24120,05-Mar-2020,70000,Luxury,1784,2019,64721,15/09/2024,,,30890,1980,2487,1680,1,,Petrol-Electric
https://www.sgcarmart.com/used_cars/info.php?ID=1334713&DL=3137\,MAZDA MAZDA2 SEDAN 1.5L SP.6EAT (LED),28800,14310,15-Apr-2016,,2016,682,Auto,14100,15/09/2024,17436,12436,46009,396,1496,1079,2,Mid-Sized Sedan,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1269358&DL=1027\,B.M.W. X3 XDRIVE28I A/T 4WD S/R LED NAV HUD,47888,25050,29-Jun-2015,90000,2015,1210,Auto,34099,15/09/2024,46087,56522,74501,279,1997,1720,1,SUV,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1228012&DL=3214\,VOLKSWAGEN SCIROCCO 2.0L AT TSI 1379V3,65800,12060,02-Mar-2010,181662,2010,1791,Auto,20777,15/09/2024,30939,30939,38071,1980,1984,1393,4,Sports Car,Petrol
https://www.sgcarmart.com/used_cars/info.php?ID=1250869&DL=3160\,HONDA CROSSROAD 1.8 LX A,56100,11800,17-Jun-2009,128000,2008,1467,Auto,20443,15/09/2024,17982,17982,43007,1584,1799,1410,,SUV,Petrol
