Unnamed: 0,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,CAR_AGE,REG_MONTH
1,https://www.sgcarmart.com/used_cars/info.php?ID=1326310&DL=1026,Honda HR-V 1.5A LX,78800.0,14790.0,21-Mar-19,94000.0,2019,682.0,Auto,27800.0,3/9/2024,22254.0,23156.0,25501.0,1647,1496.0,1200.0,1,SUV,5,3
3,https://www.sgcarmart.com/used_cars/info.php?ID=1330056&DL=1418,Mercedes-Benz A-Class A200,53800.0,18370.0,3-Jan-17,88453.0,2016,740.0,Auto,26349.0,3/9/2024,24971.0,21960.0,56500.0,820,1595.0,1395.0,1,Hatchback,7,1
4,https://www.sgcarmart.com/used_cars/info.php?ID=1306993&DL=2171&utm_content=SLeligible,Toyota Previa 2.4A Aeras Moonroof,157800.0,22740.0,23-Sep-20,65000.0,2019,1638.0,Auto,55345.0,3/9/2024,34487.0,40282.0,41510.0,2199,2362.0,1775.0,1,MPV,4,9
5,https://www.sgcarmart.com/used_cars/info.php?ID=1332689&DL=1020,Subaru Forester 2.0i-L Sunroof,45800.0,13700.0,27-Jun-17,106000.0,2017,1208.0,Auto,23659.0,3/9/2024,14601.0,14601.0,53001.0,1003,1995.0,1591.0,2,SUV,7,6
6,https://www.sgcarmart.com/used_cars/info.php?ID=1331853&DL=1228,Audi A4 1.8A TFSI MU,17300.0,17440.0,30-Sep-10,160000.0,2010,1366.0,Auto,3264.0,3/9/2024,36125.0,36125.0,16457.0,38,1798.0,1450.0,2,Luxury Sedan,14,9
7,https://www.sgcarmart.com/used_cars/info.php?ID=1328029&DL=1193,Mercedes-Benz GLA-Class GLA180 Urban Edition,84800.0,18240.0,7-Jun-18,78000.0,2018,740.0,Auto,35041.0,3/9/2024,28937.0,32512.0,37000.0,1368,1595.0,1435.0,1,SUV,6,6
10,https://www.sgcarmart.com/used_cars/info.php?ID=1309019&DL=2650&utm_content=SLeligible,Kia Cerato K3 1.6A EX,27800.0,13740.0,3-Mar-16,49300.0,2015,738.0,Auto,14429.0,3/9/2024,14560.0,14560.0,43000.0,522,1591.0,1295.0,1,Mid-Sized Sedan,8,3
16,https://www.sgcarmart.com/used_cars/info.php?ID=1247325&DL=3276&utm_content=SLeligible,Volvo V40 Cross Country T4 Sunroof,55800.0,16770.0,28-Feb-17,103000.0,2016,1176.0,Auto,28937.0,3/9/2024,25901.0,28262.0,48209.0,884,1969.0,1470.0,1,Hatchback,7,2
17,https://www.sgcarmart.com/used_cars/info.php?ID=1329435&DL=1213,Mercedes-Benz C-Class C200 Avantgarde,62800.0,23700.0,31-May-16,134650.0,2016,1202.0,Auto,32500.0,3/9/2024,40194.0,43272.0,50089.0,612,1991.0,1465.0,1,Luxury Sedan,8,5
18,https://www.sgcarmart.com/used_cars/info.php?ID=1329893&DL=2591,BMW X3 sDrive20i,118800.0,21860.0,18-Dec-18,74700.0,2018,1210.0,Auto,48278.0,3/9/2024,41424.0,49994.0,30959.0,1554,1998.0,1660.0,2,SUV,6,12
19,https://www.sgcarmart.com/used_cars/info.php?ID=1304180&DL=2011,McLaren GT 4.0A,1165.0,117970.0,25-Feb-23,1000.0,2022,3940.0,Auto,335008.0,3/9/2024,176719.0,328782.0,114009.0,3071,3994.0,1603.0,2,Sports Car,1,2
20,https://www.sgcarmart.com/used_cars/info.php?ID=1329205&DL=3393,Toyota Vios 1.5A E,67800.0,13020.0,6-May-19,69191.0,2019,682.0,Auto,21863.0,3/9/2024,13936.0,13936.0,25920.0,1702,1496.0,1085.0,1,Mid-Sized Sedan,5,5
21,https://www.sgcarmart.com/used_cars/info.php?ID=1331199&DL=4551,Kia Stonic 1.0T SX Sunroof,84000.0,14320.0,20-Mar-20,70000.0,2019,392.0,Auto,25106.0,3/9/2024,19310.0,9310.0,32699.0,2011,998.0,1185.0,1,SUV,4,3
22,https://www.sgcarmart.com/used_cars/info.php?ID=1332688&DL=1399,Volkswagen Jetta GP 1.4A TSI Trendline,29800.0,10360.0,30-Sep-16,132000.0,2016,620.0,Auto,20376.0,3/9/2024,16699.0,16699.0,50000.0,736,1390.0,1417.0,3,Mid-Sized Sedan,8,9
24,https://www.sgcarmart.com/used_cars/info.php?ID=1299011&DL=3647&utm_content=SLeligible,Audi A3 Sedan 1.0A TFSI S-tronic,80500.0,14350.0,26-Jun-19,90033.0,2019,392.0,Auto,30479.0,3/9/2024,22083.0,22917.0,30009.0,1732,999.0,1280.0,1,Luxury Sedan,5,6
27,https://www.sgcarmart.com/used_cars/info.php?ID=1316632&DL=2448&utm_content=SLeligible,Audi Q2 1.4A TFSI CoD S-tronic,63800.0,17160.0,5-Oct-17,73000.0,2017,624.0,Auto,28959.0,3/9/2024,24800.0,21720.0,48109.0,1126,1395.0,1355.0,2,SUV,7,10
28,https://www.sgcarmart.com/used_cars/info.php?ID=1331876&DL=4699,Mercedes-Benz A-Class A35 AMG 4MATIC Premium Plus,197888.0,26510.0,29-Dec-20,29000.0,2019,1202.0,Auto,71686.0,3/9/2024,49003.0,60605.0,41503.0,2285,1991.0,555.0,2,Sports Car,4,12
29,https://www.sgcarmart.com/used_cars/info.php?ID=1312136&DL=3573&utm_content=SLeligible,BMW 3 Series 330i M-Sport,168800.0,26320.0,25-Sep-19,63000.0,2019,1210.0,Auto,72142.0,3/9/2024,55125.0,71225.0,37000.0,1826,1998.0,1470.0,3,Luxury Sedan,5,9
30,https://www.sgcarmart.com/used_cars/info.php?ID=1322398&DL=4254&utm_content=SLeligible,Jaguar F-Type 3.0A S Coupe,139888.0,41200.0,11-Mar-16,60000.0,2015,2380.0,Auto,92433.0,3/9/2024,101637.0,154947.0,47604.0,552,2995.0,1647.0,1,Sports Car,8,3
32,https://www.sgcarmart.com/used_cars/info.php?ID=1159217&DL=1177&utm_content=SLeligible,Maybach 62 S Long,899000.0,142050.0,27-Dec-11,5000.0,2011,9160.0,Auto,25767.0,3/9/2024,765955.0,765955.0,40714.0,2288,5980.0,2905.0,5,Luxury Sedan,13,12
33,https://www.sgcarmart.com/used_cars/info.php?ID=1330924&DL=1264,Honda Vezel 1.5A X Honda Sensing,69800.0,15050.0,16-Nov-18,60600.0,2018,682.0,Auto,21154.0,3/9/2024,22238.0,13134.0,28457.0,1522,1496.0,1190.0,1,SUV,6,11
35,https://www.sgcarmart.com/used_cars/info.php?ID=1293458&DL=1198&utm_content=SLeligible,BMW 7 Series 730Li Sunroof,81800.0,12610.0,28-Feb-11,115208.0,2010,3335.0,Auto,29575.0,3/9/2024,67819.0,67819.0,45586.0,2344,2996.0,1855.0,3,Luxury Sedan,13,2
37,https://www.sgcarmart.com/used_cars/info.php?ID=1332232&DL=3132,Mercedes-Benz GLA-Class GLA180 Urban Edition,79800.0,16860.0,22-Jun-18,119000.0,2018,740.0,Auto,34431.0,3/9/2024,28179.0,31451.0,36810.0,1373,1595.0,1435.0,1,SUV,6,6
