,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1332309&DL=1155,Land Rover Range Rover Velar Diesel 3.0A SD6,151800,28200,16-Nov-17,49800,SUV,3376,2017,98382,3/9/2024,,,57414,1157,2993,2214,1,
1,https://www.sgcarmart.com/used_cars/info.php?ID=1326310&DL=1026,Honda HR-V 1.5A LX,78800,14790,21-Mar-19,94000,2019,682,Auto,27800,3/9/2024,22254,23156,25501,1647,1496,1200,1,SUV
2,https://www.sgcarmart.com/used_cars/info.php?ID=1278449&DL=4317&utm_content=SLeligible,Toyota Wish 1.8A,69800,13950,3-Sep-14,67800,2014,976,Auto,,3/9/2024,23454,19836,,1825,1798,1360,2,MPV
3,https://www.sgcarmart.com/used_cars/info.php?ID=1330056&DL=1418,Mercedes-Benz A-Class A200,53800,18370,3-Jan-17,88453,2016,740,Auto,26349,3/9/2024,24971,21960,56500,820,1595,1395,1,Hatchback
4,https://www.sgcarmart.com/used_cars/info.php?ID=1306993&DL=2171&utm_content=SLeligible,Toyota Previa 2.4A Aeras Moonroof,157800,22740,23-Sep-20,65000,2019,1638,Auto,55345,3/9/2024,34487,40282,41510,2199,2362,1775,1,MPV
5,https://www.sgcarmart.com/used_cars/info.php?ID=1332689&DL=1020,Subaru Forester 2.0i-L Sunroof,45800,13700,27-Jun-17,106000,2017,1208,Auto,23659,3/9/2024,14601,14601,53001,1003,1995,1591,2,SUV
6,https://www.sgcarmart.com/used_cars/info.php?ID=1331853&DL=1228,Audi A4 1.8A TFSI MU,17300,17440,30-Sep-10,160000,2010,1366,Auto,3264,3/9/2024,36125,36125,16457,38,1798,1450,2,Luxury Sedan
7,https://www.sgcarmart.com/used_cars/info.php?ID=1328029&DL=1193,Mercedes-Benz GLA-Class GLA180 Urban Edition,84800,18240,7-Jun-18,78000,2018,740,Auto,35041,3/9/2024,28937,32512,37000,1368,1595,1435,1,SUV
8,https://www.sgcarmart.com/used_cars/info.php?ID=1331515&DL=1000,Mercedes-Benz C-Class C200 AMG Line,31000,,17-Oct-14,,2014,1202,Auto,21074,3/9/2024,41733,40427,73010,33,1991,1465,2,Luxury Sedan
9,https://www.sgcarmart.com/used_cars/info.php?ID=1309700&DL=1220,Honda S2000 Type V 2.2M,103300,33910,21-Sep-07,,2007,2094,Manual,15341,3/9/2024,42203,46424,50355,1102,2156,1270,,Sports Car
10,https://www.sgcarmart.com/used_cars/info.php?ID=1309019&DL=2650&utm_content=SLeligible,Kia Cerato K3 1.6A EX,27800,13740,3-Mar-16,49300,2015,738,Auto,14429,3/9/2024,14560,14560,43000,522,1591,1295,1,Mid-Sized Sedan
11,https://www.sgcarmart.com/used_cars/info.php?ID=1304936&DL=3100&utm_content=SLeligible,Renault Grand Scenic Diesel 1.5A dCi Moonroof,68800,13150,27-Mar-19,86300,MPV,1048,2019,24329,3/9/2024,,,26301,1643,1461,1540,1,
12,https://www.sgcarmart.com/used_cars/info.php?ID=1327716&DL=1269,BMW 2 Series 216d Active Tourer,30800,15040,11-Jan-16,96000,Hatchback,1082,2015,18939,3/9/2024,,,55089,492,1496,1395,3,
13,https://www.sgcarmart.com/used_cars/info.php?ID=1310509&DL=4247&utm_content=SLeligible,BMW M4 Convertible,238800,23870,15-May-15,90000,2014,2362,Auto,,3/9/2024,73847,104925,,0,2979,1790,5,Sports Car
14,https://www.sgcarmart.com/used_cars/info.php?ID=1316004&DL=2080&utm_content=SLeligible,Mercedes-Benz E-Class E230,43800,9620,23-Mar-09,,2008,2694,Auto,15025,3/9/2024,55338,55338,33018,1649,2497,1605,4,Luxury Sedan
